"","Cluster","moduleKDS","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"16","DNARF","DNARF","GO:0035326","enhancer binding","3/23","108/17548",0.000367066732539498,0.00175255985475247,0.000957427768752183,"GATA2/TAL1/SPI1",3
"17","DNARF","DNARF","GO:0042826","histone deacetylase binding","3/23","109/17548",0.000377133133301165,0.00175255985475247,0.000957427768752183,"HES1/RFXANK/TAL1",3
"18","DNARF","DNARF","GO:0000983","transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding","2/23","23/17548",0.000408850736971726,0.00179440045670924,0.000980285392739226,"STAT1/POU2F1",2
"19","DNARF","DNARF","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","2/23","36/17548",0.00100759312436055,0.00418946614865702,0.00228871568414308,"STAT1/POU2F1",2
"20","DNARF","DNARF","GO:0070491","repressing transcription factor binding","2/23","64/17548",0.00315322745533358,0.0122289871564979,0.00668072582833328,"STAT1/GTF2A1",2
"21","DNARF","DNARF","GO:0001190","transcriptional activator activity, RNA polymerase II transcription factor binding","2/23","65/17548",0.00325074342134753,0.0122289871564979,0.00668072582833328,"CLOCK/BRCA1",2
"22","DNARF","DNARF","GO:0003705","transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding","2/23","101/17548",0.00766989758449594,0.0271754070443674,0.0148459918563499,"MITF/SPI1",2
"23","DNARF","DNARF","GO:0003713","transcription coactivator activity","3/23","317/17548",0.00791182736734746,0.0271754070443674,0.0148459918563499,"RXRB/BRCA1/GTF2A1",3
"24","DNARF","DNARF","GO:0003680","AT DNA binding","1/23","10/17548",0.0130331932783011,0.0429009278744078,0.0234368826495765,"HMGA2",1
"25","DNARF","DNARF","GO:0035257","nuclear hormone receptor binding","2/23","151/17548",0.0165321690851612,0.0494813906885991,0.0270318057059635,"STAT1/BRCA1",2
"26","DNARF","DNARF","GO:0003906","DNA-(apurinic or apyrimidinic site) endonuclease activity","1/23","13/17548",0.0169113613745845,0.0494813906885991,0.0270318057059635,"HMGA2",1
"27","DNARF","DNARF","GO:0035497","cAMP response element binding","1/23","13/17548",0.0169113613745845,0.0494813906885991,0.0270318057059635,"HMGA2",1
